Date,population,Gold price,Oil price,S&P index,GNI,Inflation,Realestate index,IT index
2/1/2003,289.13,358.97,31.85,837.03,11289.355,3,148.83,1337.52
3/1/2003,289.26,340.55,30.1,846.63,11289.355,3,150.61,1341.17
4/1/2003,289.4,328.18,25.45,890.03,11433.384,2.2,156.57,1464.31
5/1/2003,289.55,355.68,24.95,935.96,11433.384,2.1,165.07,1595.91
6/1/2003,289.82,356.35,26.84,988,11433.384,2.1,167.49,1622.8
7/1/2003,290.11,351.02,27.52,992.54,11619.905,2.1,175.87,1735.02
8/1/2003,290.39,359.77,27.94,989.53,11619.905,2.2,176.02,1810.45
9/1/2003,290.66,378.95,25.23,1019.44,11619.905,2.3,180.4,1786.94
10/1/2003,290.92,378.92,26.53,1038.73,11813.916,2,183.42,1932.21
11/1/2003,291.16,389.91,27.21,1049.9,11813.916,1.8,190.54,1960.26
12/1/2003,291.36,406.95,28.53,1080.64,11813.916,1.9,195.95,2003.37
1/1/2004,291.55,413.79,30.35,1132.52,12014.015,1.9,203.87,2066.15
2/1/2004,291.72,404.88,31.21,1143.36,12014.015,1.7,207.38,2029.82
3/1/2004,291.89,406.67,32.86,1123.98,12014.015,1.7,217.26,1994.22
4/1/2004,292.11,403.26,33.2,1133.36,12221.287,2.3,183.53,1920.15
5/1/2004,292.35,383.78,35.73,1102.78,12221.287,3.1,195.72,1986.74
6/1/2004,292.57,392.37,34.53,1132.76,12221.287,3.3,200.12,2047.79
7/1/2004,292.81,398.09,36.54,1105.85,12457.688,3,199.86,1887.36
8/1/2004,293.06,400.51,40.1,1088.94,12457.688,2.7,215.48,1838.1
9/1/2004,293.31,405.28,40.56,1117.66,12457.688,2.5,214.14,1896.84
10/1/2004,293.57,420.46,46.14,1117.21,12595.05,3.2,223.79,1974.99
11/1/2004,293.8,439.38,42.85,1168.94,12595.05,3.5,232.92,2096.81
12/1/2004,294.02,442.08,38.22,1199.21,12595.05,3.3,243.37,2175.44
1/1/2005,294.23,424.03,40.18,1181.41,12837.135,3,223.38,2062.41
2/1/2005,294.38,423.35,42.19,1199.63,12837.135,3,228.32,2051.72
3/1/2005,294.56,433.85,47.56,1194.9,12837.135,3.1,222.49,1999.23
4/1/2005,294.78,429.23,47.26,1164.43,13039.104,3.5,233.52,1921.65
5/1/2005,295.03,421.87,44.03,1178.28,13039.104,2.8,241.03,2068.22
6/1/2005,295.26,430.66,49.83,1202.25,13039.104,2.5,250.92,2056.96
7/1/2005,295.52,424.48,53.35,1222.24,13263.602,3.2,267.03,2184.83
8/1/2005,295.77,437.93,58.9,1224.27,13263.602,3.6,254.67,2152.09
9/1/2005,296.04,456.05,59.64,1225.92,13263.602,4.7,252.88,2151.69
10/1/2005,296.31,469.9,56.99,1191.96,13544.147,4.3,245.81,2120.3
11/1/2005,296.51,476.67,53.2,1237.37,13544.147,3.5,255.79,2232.82
12/1/2005,296.76,510.1,53.24,1262.07,13544.147,3.4,253.37,2205.32
1/1/2006,296.99,549.86,57.85,1278.73,13851.685,4,270.73,2305.82
2/1/2006,297.22,555,55.69,1276.65,13851.685,3.6,275.15,2281.39
3/1/2006,297.42,557.09,55.64,1293.74,13851.685,3.4,289.17,2339.79
4/1/2006,297.65,610.65,62.52,1302.17,14022.537,3.5,280.07,2322.57
5/1/2006,297.87,675.39,64.4,1290.01,14022.537,4.2,270.3,2178.88
6/1/2006,298.12,596.15,64.65,1253.17,14022.537,4.3,282.38,2172.09
7/1/2006,298.38,633.71,67.71,1260.24,14161.494,4.1,290.01,2091.47
8/1/2006,298.63,632.59,67.21,1287.15,14161.494,3.8,297.57,2183.75
9/1/2006,298.91,598.19,59.37,1317.74,14161.494,2.1,302.73,2258.43
10/1/2006,299.16,585.78,53.26,1363.38,14251.625,1.3,321.58,2366.71
11/1/2006,299.4,627.83,52.42,1388.64,14251.625,2,335.04,2431.77
12/1/2006,299.66,629.79,55.03,1416.42,14251.625,2.5,328.72,2415.29
1/1/2007,299.89,631.17,49.32,1424.16,14384.925,2.1,355.82,2463.93
2/1/2007,300.1,664.75,52.94,1444.8,14384.925,2.4,344.26,2416.15
